dispositif,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,nombre_etablissements_concernes,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,1135.00,5085.00,2060985.00,1035.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2020-06-23
Activite Partielle,4075.00,34860.00,13482540.00,3800.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-23
Activite Partielle,1620.00,68750.00,26666470.00,1410.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2020-06-23
Activite Partielle,350.00,29620.00,14204430.00,315.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2020-06-23
Activite Partielle,10670.00,209495.00,94998160.00,9455.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2020-06-23
Activite Partielle,1225.00,17605.00,7049320.00,1155.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2020-06-23
Activite Partielle,23650.00,182785.00,86981970.00,21805.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2020-06-23
Activite Partielle,39365.00,267085.00,123566080.00,36570.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2020-06-23
Activite Partielle,5545.00,119330.00,48685775.00,5030.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2020-06-23
Activite Partielle,21895.00,143670.00,65661855.00,19840.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2020-06-23
Activite Partielle,3195.00,39505.00,15546150.00,2860.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2020-06-23
Activite Partielle,5330.00,24630.00,10008395.00,4945.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2020-06-23
Activite Partielle,3435.00,17270.00,6672745.00,3210.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2020-06-23
Activite Partielle,25475.00,318380.00,114914070.00,23095.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2020-06-23
Activite Partielle,14105.00,128990.00,38610430.00,12700.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2020-06-23
Activite Partielle,18720.00,94830.00,30715155.00,16225.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2020-06-23
Activite Partielle,720.00,2840.00,1043760.00,635.00,27,Bourgogne-Franche-Comté,AZ,"Agriculture, sylviculture et pêche",2020-06-23
Activite Partielle,1410.00,11355.00,4629070.00,1310.00,27,Bourgogne-Franche-Comté,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2020-06-23
Activite Partielle,450.00,20315.00,8118375.00,385.00,27,Bourgogne-Franche-Comté,C3,Fabr. d'équipements ; fabrication de machines,2020-06-23
Activite Partielle,150.00,38545.00,11884185.00,120.00,27,Bourgogne-Franche-Comté,C4,Fabrication de matériels de transport,2020-06-23
Activite Partielle,3415.00,80675.00,37386655.00,2945.00,27,Bourgogne-Franche-Comté,C5,Fabrication d'autres produits indus.,2020-06-23
Activite Partielle,450.00,5855.00,2052280.00,435.00,27,Bourgogne-Franche-Comté,DE,Industries extractives,2020-06-23
Activite Partielle,6665.00,48700.00,21964125.00,6100.00,27,Bourgogne-Franche-Comté,FZ,Construction,2020-06-23
Activite Partielle,12365.00,77640.00,35328885.00,11490.00,27,Bourgogne-Franche-Comté,GZ,Commerce,2020-06-23
Activite Partielle,1640.00,35055.00,13251915.00,1490.00,27,Bourgogne-Franche-Comté,HZ,Transports et entreposage,2020-06-23
Activite Partielle,5955.00,33385.00,15910095.00,5275.00,27,Bourgogne-Franche-Comté,IZ,Hébergement et restauration,2020-06-23
Activite Partielle,535.00,3440.00,1455640.00,460.00,27,Bourgogne-Franche-Comté,JZ,Information et communication,2020-06-23
