dispositif,volet,sum,nombre_aides,reg,libelle_region,code_categorie_juridique,libelle_categorie_juridique
Fonds de solidarit??,VOLET1,230501752.00,178404,84,Auvergne-Rhône-Alpes,10,Entrepreneur individuel
Fonds de solidarit??,VOLET1,160901.00,134,84,Auvergne-Rhône-Alpes,21,Indivision
Fonds de solidarit??,VOLET1,249378.00,172,84,Auvergne-Rhône-Alpes,22,Société créée de fait
Fonds de solidarit??,VOLET1,6000.00,4,84,Auvergne-Rhône-Alpes,29,Autre groupement de droit privé non doté de la personnalité morale
Fonds de solidarit??,VOLET1,685592.00,461,84,Auvergne-Rhône-Alpes,52,Société en nom collectif
Fonds de solidarit??,VOLET1,14820.00,10,84,Auvergne-Rhône-Alpes,53,Société en commandite
Fonds de solidarit??,VOLET1,108028359.00,73157,84,Auvergne-Rhône-Alpes,54,Société à responsabilité limitée (SARL)
Fonds de solidarit??,VOLET1,127290.00,85,84,Auvergne-Rhône-Alpes,55,Société anonyme à conseil d'administration
Fonds de solidarit??,VOLET1,50085144.00,34456,84,Auvergne-Rhône-Alpes,57,Société par actions simplifiée
Fonds de solidarit??,VOLET1,36210.00,26,84,Auvergne-Rhône-Alpes,62,Groupement d'intérêt économique
Fonds de solidarit??,VOLET1,4500.00,3,84,Auvergne-Rhône-Alpes,63,Société coopérative agricole
Fonds de solidarit??,VOLET1,2766423.00,1942,84,Auvergne-Rhône-Alpes,65,Société civile
Fonds de solidarit??,VOLET1,6000.00,4,84,Auvergne-Rhône-Alpes,69,Autre personne morale de droit privé inscrite au registre du commerce et des sociétés
Fonds de solidarit??,VOLET1,33100.00,23,84,Auvergne-Rhône-Alpes,84,Organisme professionnel
Fonds de solidarit??,VOLET1,2969784.00,2104,84,Auvergne-Rhône-Alpes,92,Association loi 1901 ou assimilé
Fonds de solidarit??,VOLET1,57796564.00,45335,27,Bourgogne-Franche-Comté,10,Entrepreneur individuel
Fonds de solidarit??,VOLET1,42140.00,31,27,Bourgogne-Franche-Comté,21,Indivision
Fonds de solidarit??,VOLET1,30000.00,20,27,Bourgogne-Franche-Comté,22,Société créée de fait
Fonds de solidarit??,VOLET1,4500.00,3,27,Bourgogne-Franche-Comté,23,Société en participation
Fonds de solidarit??,VOLET1,229241.00,157,27,Bourgogne-Franche-Comté,52,Société en nom collectif
Fonds de solidarit??,VOLET1,30468460.00,20658,27,Bourgogne-Franche-Comté,54,Société à responsabilité limitée (SARL)
Fonds de solidarit??,VOLET1,24654.00,17,27,Bourgogne-Franche-Comté,55,Société anonyme à conseil d'administration
Fonds de solidarit??,VOLET1,9935763.00,6842,27,Bourgogne-Franche-Comté,57,Société par actions simplifiée
Fonds de solidarit??,VOLET1,12000.00,8,27,Bourgogne-Franche-Comté,62,Groupement d'intérêt économique
Fonds de solidarit??,VOLET1,1123007.00,797,27,Bourgogne-Franche-Comté,65,Société civile
Fonds de solidarit??,VOLET1,7500.00,5,27,Bourgogne-Franche-Comté,84,Organisme professionnel
Fonds de solidarit??,VOLET1,933668.00,657,27,Bourgogne-Franche-Comté,92,Association loi 1901 ou assimilé
Fonds de solidarit??,VOLET1,74489084.00,57904,53,Bretagne,10,Entrepreneur individuel
Fonds de solidarit??,VOLET1,33638.00,29,53,Bretagne,21,Indivision
Fonds de solidarit??,VOLET1,73044.00,51,53,Bretagne,22,Société créée de fait
Fonds de solidarit??,VOLET1,680235.00,458,53,Bretagne,52,Société en nom collectif
Fonds de solidarit??,VOLET1,4500.00,3,53,Bretagne,53,Société en commandite
Fonds de solidarit??,VOLET1,42188920.00,28565,53,Bretagne,54,Société à responsabilité limitée (SARL)
Fonds de solidarit??,VOLET1,17950.00,12,53,Bretagne,55,Société anonyme à conseil d'administration
Fonds de solidarit??,VOLET1,7916150.00,5488,53,Bretagne,57,Société par actions simplifiée
Fonds de solidarit??,VOLET1,6000.00,4,53,Bretagne,62,Groupement d'intérêt économique
Fonds de solidarit??,VOLET1,984892.00,702,53,Bretagne,65,Société civile
Fonds de solidarit??,VOLET1,963029.00,682,53,Bretagne,92,Association loi 1901 ou assimilé
Fonds de solidarit??,VOLET1,50905481.00,39994,24,Centre-Val de Loire,10,Entrepreneur individuel
Fonds de solidarit??,VOLET1,13095.00,14,24,Centre-Val de Loire,21,Indivision
Fonds de solidarit??,VOLET1,33472.00,25,24,Centre-Val de Loire,22,Société créée de fait
Fonds de solidarit??,VOLET1,4500.00,3,24,Centre-Val de Loire,29,Autre groupement de droit privé non doté de la personnalité morale
Fonds de solidarit??,VOLET1,281581.00,190,24,Centre-Val de Loire,52,Société en nom collectif
Fonds de solidarit??,VOLET1,26249060.00,17789,24,Centre-Val de Loire,54,Société à responsabilité limitée (SARL)
Fonds de solidarit??,VOLET1,15000.00,10,24,Centre-Val de Loire,55,Société anonyme à conseil d'administration
Fonds de solidarit??,VOLET1,9491231.00,6532,24,Centre-Val de Loire,57,Société par actions simplifiée
Fonds de solidarit??,VOLET1,1020035.00,726,24,Centre-Val de Loire,65,Société civile
Fonds de solidarit??,VOLET1,588085.00,415,24,Centre-Val de Loire,92,Association loi 1901 ou assimilé
Fonds de solidarit??,VOLET1,14460780.00,11024,94,Corse,10,Entrepreneur individuel
Fonds de solidarit??,VOLET1,17827.00,14,94,Corse,21,Indivision
Fonds de solidarit??,VOLET1,16725.00,12,94,Corse,22,Société créée de fait
Fonds de solidarit??,VOLET1,39202.00,27,94,Corse,52,Société en nom collectif
Fonds de solidarit??,VOLET1,6008751.00,4088,94,Corse,54,Société à responsabilité limitée (SARL)
Fonds de solidarit??,VOLET1,4030173.00,2763,94,Corse,57,Société par actions simplifiée
Fonds de solidarit??,VOLET1,314357.00,226,94,Corse,65,Société civile
Fonds de solidarit??,VOLET1,127184.00,91,94,Corse,92,Association loi 1901 ou assimilé
