dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,18905,7057,33636037.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,26,10,33371.00,84,Auvergne-Rhône-Alpes,B,Industries extractives
Fonds de solidarité,VOLET1,35166,11205,62681134.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Fonds de solidarité,VOLET1,441,105,888165.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,1751,561,2533842.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,80763,31722,126719297.00,84,Auvergne-Rhône-Alpes,F,Construction
Fonds de solidarité,VOLET1,135644,39102,341206508.00,84,Auvergne-Rhône-Alpes,G,Commerce
Fonds de solidarité,VOLET1,51374,9764,114670006.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Fonds de solidarité,VOLET1,175116,28764,888901507.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Fonds de solidarité,VOLET1,17884,4653,35996011.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Fonds de solidarité,VOLET1,6848,2043,12627287.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,27177,8079,55283871.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Fonds de solidarité,VOLET1,86020,24397,205510482.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,41065,10985,103937508.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,16,6,105242.00,84,Auvergne-Rhône-Alpes,O,Administration publique
Fonds de solidarité,VOLET1,89483,19075,153297623.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Fonds de solidarité,VOLET1,55969,23574,75207444.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,72170,12956,176692085.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,86962,23874,156680263.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Fonds de solidarité,VOLET1,6681,2612,15285157.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,17,6,34562.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Fonds de solidarité,VOLET1,9459,3157,15192404.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Fonds de solidarité,VOLET1,24,10,32650.00,27,Bourgogne-Franche-Comté,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,775,250,1301669.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,18855,7946,28659371.00,27,Bourgogne-Franche-Comté,F,Construction
Fonds de solidarité,VOLET1,39902,12009,87004235.00,27,Bourgogne-Franche-Comté,G,Commerce
Fonds de solidarité,VOLET1,5463,1489,12148390.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Fonds de solidarité,VOLET1,49308,8039,225065596.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Fonds de solidarité,VOLET1,3148,829,6445388.00,27,Bourgogne-Franche-Comté,J,Information et communication
Fonds de solidarité,VOLET1,1434,446,2271546.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,5368,1661,9423007.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Fonds de solidarité,VOLET1,16277,4731,39129334.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,8061,2242,19584541.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,18,3,24456.00,27,Bourgogne-Franche-Comté,O,Administration publique
Fonds de solidarité,VOLET1,12340,2722,19582002.00,27,Bourgogne-Franche-Comté,P,Enseignement
Fonds de solidarité,VOLET1,12236,5264,16201018.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,17859,3132,42274906.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,26166,7237,47103737.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Fonds de solidarité,VOLET1,4820,1795,9104993.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,16,5,25775.00,53,Bretagne,B,Industries extractives
Fonds de solidarité,VOLET1,12757,4104,20590059.00,53,Bretagne,C,Industrie manufacturière
Fonds de solidarité,VOLET1,35,13,52910.00,53,Bretagne,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,412,157,590548.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,19412,8996,29227284.00,53,Bretagne,F,Construction
Fonds de solidarité,VOLET1,42146,12993,97037214.00,53,Bretagne,G,Commerce
Fonds de solidarité,VOLET1,7635,1829,16683331.00,53,Bretagne,H,Transports et entreposage
Fonds de solidarité,VOLET1,66693,11108,333728995.00,53,Bretagne,I,Hébergement et restauration
Fonds de solidarité,VOLET1,5477,1388,12177457.00,53,Bretagne,J,Information et communication
Fonds de solidarité,VOLET1,1923,608,3834373.00,53,Bretagne,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,7367,2366,13315967.00,53,Bretagne,L,Activités immobilières
Fonds de solidarité,VOLET1,24430,7251,62061147.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,9703,2876,24283040.00,53,Bretagne,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,13337,3090,22916152.00,53,Bretagne,P,Enseignement
Fonds de solidarité,VOLET1,19900,8847,26729437.00,53,Bretagne,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,21803,4229,53536079.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,29335,8445,54277229.00,53,Bretagne,S,Autres activités de services
Fonds de solidarité,VOLET1,4706,1669,11326849.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,8151,2603,13130624.00,24,Centre-Val de Loire,C,Industrie manufacturière
Fonds de solidarité,VOLET1,21,5,32680.00,24,Centre-Val de Loire,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,431,152,590046.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,18092,7654,27878055.00,24,Centre-Val de Loire,F,Construction
Fonds de solidarité,VOLET1,31665,9687,68507442.00,24,Centre-Val de Loire,G,Commerce
Fonds de solidarité,VOLET1,8171,1919,17247880.00,24,Centre-Val de Loire,H,Transports et entreposage
Fonds de solidarité,VOLET1,39179,6452,177046239.00,24,Centre-Val de Loire,I,Hébergement et restauration
Fonds de solidarité,VOLET1,3516,931,7433866.00,24,Centre-Val de Loire,J,Information et communication
Fonds de solidarité,VOLET1,1285,388,2326476.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,5504,1647,10000341.00,24,Centre-Val de Loire,L,Activités immobilières
Fonds de solidarité,VOLET1,15204,4350,35270554.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,8091,2252,19134383.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,9520,2261,16625027.00,24,Centre-Val de Loire,P,Enseignement
Fonds de solidarité,VOLET1,10376,4508,13571324.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,15960,2955,39997402.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,23156,6568,41096037.00,24,Centre-Val de Loire,S,Autres activités de services
Fonds de solidarité,VOLET1,4016,1110,7299126.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,3306,892,5981964.00,94,Corse,C,Industrie manufacturière
Fonds de solidarité,VOLET1,48,21,115986.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,6689,2424,10475105.00,94,Corse,F,Construction
Fonds de solidarité,VOLET1,9938,2559,26455731.00,94,Corse,G,Commerce
Fonds de solidarité,VOLET1,1704,394,5517987.00,94,Corse,H,Transports et entreposage
Fonds de solidarité,VOLET1,16767,2728,85091206.00,94,Corse,I,Hébergement et restauration
Fonds de solidarité,VOLET1,752,185,1967918.00,94,Corse,J,Information et communication
Fonds de solidarité,VOLET1,227,68,558292.00,94,Corse,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,2743,676,6531555.00,94,Corse,L,Activités immobilières
Fonds de solidarité,VOLET1,7294,1792,24780463.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,3812,903,9377070.00,94,Corse,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,2068,398,3560542.00,94,Corse,P,Enseignement
Fonds de solidarité,VOLET1,2186,917,2920332.00,94,Corse,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,3082,529,9098303.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,4835,1270,8353065.00,94,Corse,S,Autres activités de services
Fonds de solidarité,VOLET1,28037,11967,122955182.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,16,6,26558.00,44,Grand Est,B,Industries extractives
Fonds de solidarité,VOLET1,17232,5574,34467120.00,44,Grand Est,C,Industrie manufacturière
Fonds de solidarité,VOLET1,132,58,181964.00,44,Grand Est,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,1847,528,2803149.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,39365,15703,60420074.00,44,Grand Est,F,Construction
Fonds de solidarité,VOLET1,74536,22153,167873034.00,44,Grand Est,G,Commerce
Fonds de solidarité,VOLET1,16547,3543,35456841.00,44,Grand Est,H,Transports et entreposage
Fonds de solidarité,VOLET1,84659,13783,434694234.00,44,Grand Est,I,Hébergement et restauration
Fonds de solidarité,VOLET1,7075,1875,14812198.00,44,Grand Est,J,Information et communication
Fonds de solidarité,VOLET1,3222,1035,5357943.00,44,Grand Est,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,10188,3010,18913680.00,44,Grand Est,L,Activités immobilières
Fonds de solidarité,VOLET1,35500,10311,78301193.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,16026,4457,38264489.00,44,Grand Est,N,Activités de services administratifs et de soutien
