dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,classe_effectif,libelle_classe_effectif
Fonds de solidarité,VOLET1,58643,18081,124012747.00,84,Auvergne-Rhône-Alpes,00,0 salarié
Fonds de solidarité,VOLET1,142162,45142,352200596.00,84,Auvergne-Rhône-Alpes,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,52058,17431,163511510.00,84,Auvergne-Rhône-Alpes,02,3 à 5 salariés
Fonds de solidarité,VOLET1,16782,5869,63986577.00,84,Auvergne-Rhône-Alpes,03,6 à 9 salariés
Fonds de solidarité,VOLET1,6456,2612,35924869.00,84,Auvergne-Rhône-Alpes,11,10 à 19 salariés
Fonds de solidarité,VOLET1,1358,665,10864659.00,84,Auvergne-Rhône-Alpes,12,20 à 49 salariés
Fonds de solidarité,VOLET1,94,53,1067666.00,84,Auvergne-Rhône-Alpes,21,50 à 99 salariés
Fonds de solidarité,VOLET1,14,9,229179.00,84,Auvergne-Rhône-Alpes,22,100 à 199 salariés
Fonds de solidarité,VOLET1,7,3,10500.00,84,Auvergne-Rhône-Alpes,42,1 000 à 1 999 salariés
Fonds de solidarité,VOLET1,62295,19554,102210038.00,84,Auvergne-Rhône-Alpes,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,14886,4614,31294787.00,27,Bourgogne-Franche-Comté,00,0 salarié
Fonds de solidarité,VOLET1,39910,12911,97407151.00,27,Bourgogne-Franche-Comté,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,13399,4613,40293155.00,27,Bourgogne-Franche-Comté,02,3 à 5 salariés
Fonds de solidarité,VOLET1,3924,1424,13863628.00,27,Bourgogne-Franche-Comté,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1348,593,7166049.00,27,Bourgogne-Franche-Comté,11,10 à 19 salariés
Fonds de solidarité,VOLET1,325,173,2675836.00,27,Bourgogne-Franche-Comté,12,20 à 49 salariés
Fonds de solidarité,VOLET1,18,10,179230.00,27,Bourgogne-Franche-Comté,21,50 à 99 salariés
Fonds de solidarité,VOLET1,14959,4817,23799841.00,27,Bourgogne-Franche-Comté,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,20804,6305,46415003.00,53,Bretagne,00,0 salarié
Fonds de solidarité,VOLET1,49292,15824,125824328.00,53,Bretagne,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,17276,6090,54241586.00,53,Bretagne,02,3 à 5 salariés
Fonds de solidarité,VOLET1,5187,1969,19121186.00,53,Bretagne,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1737,749,9060940.00,53,Bretagne,11,10 à 19 salariés
Fonds de solidarité,VOLET1,294,161,2376423.00,53,Bretagne,12,20 à 49 salariés
Fonds de solidarité,VOLET1,7,6,60666.00,53,Bretagne,21,50 à 99 salariés
Fonds de solidarité,VOLET1,16606,5402,26252765.00,53,Bretagne,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,11778,3647,24987210.00,24,Centre-Val de Loire,00,0 salarié
Fonds de solidarité,VOLET1,34028,11177,80883005.00,24,Centre-Val de Loire,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,12363,4355,36220857.00,24,Centre-Val de Loire,02,3 à 5 salariés
Fonds de solidarité,VOLET1,3427,1277,11624917.00,24,Centre-Val de Loire,03,6 à 9 salariés
Fonds de solidarité,VOLET1,1144,504,6132298.00,24,Centre-Val de Loire,11,10 à 19 salariés
Fonds de solidarité,VOLET1,239,127,1440953.00,24,Centre-Val de Loire,12,20 à 49 salariés
Fonds de solidarité,VOLET1,9,5,170426.00,24,Centre-Val de Loire,21,50 à 99 salariés
Fonds de solidarité,VOLET1,12068,3846,19151393.00,24,Centre-Val de Loire,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,5305,1444,12524634.00,94,Corse,00,0 salarié
Fonds de solidarité,VOLET1,12307,3598,30335852.00,94,Corse,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,5196,1631,16481393.00,94,Corse,02,3 à 5 salariés
Fonds de solidarité,VOLET1,1460,533,5460078.00,94,Corse,03,6 à 9 salariés
Fonds de solidarité,VOLET1,497,222,2835018.00,94,Corse,11,10 à 19 salariés
Fonds de solidarité,VOLET1,68,45,557760.00,94,Corse,12,20 à 49 salariés
Fonds de solidarité,VOLET1,6,4,158706.00,94,Corse,21,50 à 99 salariés
Fonds de solidarité,VOLET1,3749,1183,5858096.00,94,Corse,NN,Etablissement non employeur
Fonds de solidarité,VOLET1,26742,8730,57085663.00,44,Grand Est,00,0 salarié
Fonds de solidarité,VOLET1,79159,26746,195419197.00,44,Grand Est,01,1 ou 2 salariés
Fonds de solidarité,VOLET1,30658,10737,92177688.00,44,Grand Est,02,3 à 5 salariés
