dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,14998,6406,23514480.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,19,8,24026.00,84,Auvergne-Rhône-Alpes,B,Industries extractives
Fonds de solidarité,VOLET1,29967,10778,45371647.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Fonds de solidarité,VOLET1,363,101,714033.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,1563,547,2175399.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,71246,30804,108381610.00,84,Auvergne-Rhône-Alpes,F,Construction
Fonds de solidarité,VOLET1,116423,37710,240588366.00,84,Auvergne-Rhône-Alpes,G,Commerce
Fonds de solidarité,VOLET1,42860,9510,80587613.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Fonds de solidarité,VOLET1,121933,27290,362930192.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Fonds de solidarité,VOLET1,14782,4446,24572985.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Fonds de solidarité,VOLET1,5573,1921,9077576.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,22056,7467,39461527.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Fonds de solidarité,VOLET1,70290,23298,124849494.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,33887,10547,61127283.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,15,6,66982.00,84,Auvergne-Rhône-Alpes,O,Administration publique
Fonds de solidarité,VOLET1,69100,18113,105690163.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Fonds de solidarité,VOLET1,53077,23397,70889906.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,56662,12242,100764305.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,79504,23405,136345451.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Fonds de solidarité,VOLET1,5268,2323,8941466.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,14,6,30062.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Fonds de solidarité,VOLET1,8154,3050,11855754.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Fonds de solidarité,VOLET1,23,10,31150.00,27,Bourgogne-Franche-Comté,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,643,231,969326.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,16791,7756,24887603.00,27,Bourgogne-Franche-Comté,F,Construction
Fonds de solidarité,VOLET1,34711,11624,68892808.00,27,Bourgogne-Franche-Comté,G,Commerce
Fonds de solidarité,VOLET1,4558,1435,8189329.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Fonds de solidarité,VOLET1,34317,7664,94242332.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Fonds de solidarité,VOLET1,2604,792,4258017.00,27,Bourgogne-Franche-Comté,J,Information et communication
Fonds de solidarité,VOLET1,1219,436,1844566.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,4465,1571,7333458.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Fonds de solidarité,VOLET1,13286,4524,23911374.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,6591,2145,11319677.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,16,3,21762.00,27,Bourgogne-Franche-Comté,O,Administration publique
Fonds de solidarité,VOLET1,10005,2644,14839847.00,27,Bourgogne-Franche-Comté,P,Enseignement
Fonds de solidarité,VOLET1,11602,5227,15359741.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,14043,2985,23858036.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,24219,7132,42265651.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Fonds de solidarité,VOLET1,3984,1610,6262143.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,15,5,23597.00,53,Bretagne,B,Industries extractives
Fonds de solidarité,VOLET1,11022,4003,15714858.00,53,Bretagne,C,Industrie manufacturière
Fonds de solidarité,VOLET1,29,12,44796.00,53,Bretagne,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,377,153,526115.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,17927,8854,26502476.00,53,Bretagne,F,Construction
Fonds de solidarité,VOLET1,37490,12653,79768482.00,53,Bretagne,G,Commerce
Fonds de solidarité,VOLET1,6250,1785,11086678.00,53,Bretagne,H,Transports et entreposage
Fonds de solidarité,VOLET1,45212,10576,130860659.00,53,Bretagne,I,Hébergement et restauration
Fonds de solidarité,VOLET1,4476,1346,7527191.00,53,Bretagne,J,Information et communication
Fonds de solidarité,VOLET1,1625,595,2675126.00,53,Bretagne,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,6331,2269,10471358.00,53,Bretagne,L,Activités immobilières
Fonds de solidarité,VOLET1,19927,6934,36164245.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,8080,2771,13741697.00,53,Bretagne,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,11058,3003,17319447.00,53,Bretagne,P,Enseignement
Fonds de solidarité,VOLET1,19056,8802,25541590.00,53,Bretagne,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,17026,3944,29073189.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,27253,8299,48713264.00,53,Bretagne,S,Autres activités de services
Fonds de solidarité,VOLET1,3746,1506,6482988.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,7079,2528,10446056.00,24,Centre-Val de Loire,C,Industrie manufacturière
Fonds de solidarité,VOLET1,16,5,25723.00,24,Centre-Val de Loire,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,388,145,462950.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,16400,7528,24673150.00,24,Centre-Val de Loire,F,Construction
Fonds de solidarité,VOLET1,28004,9442,54882795.00,24,Centre-Val de Loire,G,Commerce
Fonds de solidarité,VOLET1,7055,1888,13326956.00,24,Centre-Val de Loire,H,Transports et entreposage
Fonds de solidarité,VOLET1,27408,6180,74361988.00,24,Centre-Val de Loire,I,Hébergement et restauration
Fonds de solidarité,VOLET1,2909,890,4678717.00,24,Centre-Val de Loire,J,Information et communication
Fonds de solidarité,VOLET1,1082,373,1737642.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,4668,1579,7889237.00,24,Centre-Val de Loire,L,Activités immobilières
Fonds de solidarité,VOLET1,12579,4200,22405104.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,6716,2166,11549427.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,7954,2201,12598042.00,24,Centre-Val de Loire,P,Enseignement
Fonds de solidarité,VOLET1,9867,4480,12955254.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,12518,2771,22768140.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,21444,6474,37203890.00,24,Centre-Val de Loire,S,Autres activités de services
Fonds de solidarité,VOLET1,3339,1074,5216402.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,2776,864,4472708.00,94,Corse,C,Industrie manufacturière
Fonds de solidarité,VOLET1,38,17,76486.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,5752,2346,8653419.00,94,Corse,F,Construction
Fonds de solidarité,VOLET1,8052,2442,18171042.00,94,Corse,G,Commerce
Fonds de solidarité,VOLET1,1352,378,2726336.00,94,Corse,H,Transports et entreposage
Fonds de solidarité,VOLET1,11232,2530,33284669.00,94,Corse,I,Hébergement et restauration
Fonds de solidarité,VOLET1,594,173,1192085.00,94,Corse,J,Information et communication
Fonds de solidarité,VOLET1,176,62,276616.00,94,Corse,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,2133,623,3898063.00,94,Corse,L,Activités immobilières
Fonds de solidarité,VOLET1,5484,1689,12412035.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,3038,858,5109670.00,94,Corse,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,1689,388,2499605.00,94,Corse,P,Enseignement
Fonds de solidarité,VOLET1,2041,907,2746047.00,94,Corse,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,2332,496,4685084.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,4283,1241,6961130.00,94,Corse,S,Autres activités de services
Fonds de solidarité,VOLET1,16129,9192,57983583.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,13,6,22058.00,44,Grand Est,B,Industries extractives
Fonds de solidarité,VOLET1,14456,5325,22956165.00,44,Grand Est,C,Industrie manufacturière
Fonds de solidarité,VOLET1,82,46,115550.00,44,Grand Est,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,1602,511,2335557.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,34799,15321,52204232.00,44,Grand Est,F,Construction
Fonds de solidarité,VOLET1,64063,21355,128230546.00,44,Grand Est,G,Commerce
Fonds de solidarité,VOLET1,13672,3423,23779007.00,44,Grand Est,H,Transports et entreposage
Fonds de solidarité,VOLET1,58019,13165,170718688.00,44,Grand Est,I,Hébergement et restauration
Fonds de solidarité,VOLET1,5808,1791,9560509.00,44,Grand Est,J,Information et communication
Fonds de solidarité,VOLET1,2621,981,4094242.00,44,Grand Est,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,8317,2829,13970484.00,44,Grand Est,L,Activités immobilières
Fonds de solidarité,VOLET1,29161,9906,49836989.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,13097,4220,22651872.00,44,Grand Est,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,15,4,28216.00,44,Grand Est,O,Administration publique
Fonds de solidarité,VOLET1,16541,4504,25589483.00,44,Grand Est,P,Enseignement
Fonds de solidarité,VOLET1,23721,10950,32247823.00,44,Grand Est,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,23659,4950,39669445.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
