dispositif,nombre_beneficiaires,montant_total,reg,libelle_region,code_section,libelle_section
Aide CPSTI,674.00,599925.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,15.00,15019.00,84,Auvergne-Rhône-Alpes,B,Industries extractives
Aide CPSTI,15091.00,12532893.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Aide CPSTI,115.00,105468.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,489.00,325439.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,35829.00,33926519.00,84,Auvergne-Rhône-Alpes,F,Construction
Aide CPSTI,34247.00,28712216.00,84,Auvergne-Rhône-Alpes,G,Commerce
Aide CPSTI,5164.00,4769907.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Aide CPSTI,15594.00,13545861.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Aide CPSTI,2222.00,1589558.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Aide CPSTI,1539.00,1554876.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Aide CPSTI,6110.00,5842172.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Aide CPSTI,5018.00,3606533.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,7561.00,5043609.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Aide CPSTI,1526.00,1308183.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Aide CPSTI,1769.00,1052476.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Aide CPSTI,1998.00,1148005.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,16682.00,11598971.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Aide CPSTI,8364.00,8965265.00,84,Auvergne-Rhône-Alpes,Z,Non connu
Aide CPSTI,390.00,309405.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,7.00,5621.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Aide CPSTI,4800.00,3998327.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Aide CPSTI,24.00,27076.00,27,Bourgogne-Franche-Comté,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,226.00,149761.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,10476.00,10268047.00,27,Bourgogne-Franche-Comté,F,Construction
Aide CPSTI,11071.00,9060214.00,27,Bourgogne-Franche-Comté,G,Commerce
Aide CPSTI,1334.00,1402695.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Aide CPSTI,4681.00,4008560.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Aide CPSTI,440.00,304491.00,27,Bourgogne-Franche-Comté,J,Information et communication
Aide CPSTI,386.00,386380.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Aide CPSTI,1373.00,1313404.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Aide CPSTI,1162.00,852931.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,1571.00,1071256.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Aide CPSTI,372.00,336406.00,27,Bourgogne-Franche-Comté,P,Enseignement
Aide CPSTI,477.00,331610.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Aide CPSTI,687.00,371001.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,5309.00,4030409.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Aide CPSTI,2563.00,2765040.00,27,Bourgogne-Franche-Comté,Z,Non connu
Aide CPSTI,244.00,227712.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,6575.00,5588438.00,53,Bretagne,C,Industrie manufacturière
Aide CPSTI,37.00,33865.00,53,Bretagne,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,157.00,122035.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,14174.00,14469911.00,53,Bretagne,F,Construction
Aide CPSTI,14003.00,12520507.00,53,Bretagne,G,Commerce
Aide CPSTI,1844.00,1885980.00,53,Bretagne,H,Transports et entreposage
Aide CPSTI,8364.00,7695038.00,53,Bretagne,I,Hébergement et restauration
Aide CPSTI,746.00,535991.00,53,Bretagne,J,Information et communication
Aide CPSTI,723.00,756591.00,53,Bretagne,K,Activités financières et d'assurance
Aide CPSTI,2253.00,2273197.00,53,Bretagne,L,Activités immobilières
Aide CPSTI,1620.00,1272002.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,1959.00,1376532.00,53,Bretagne,N,Activités de services administratifs et de soutien
Aide CPSTI,534.00,493472.00,53,Bretagne,P,Enseignement
Aide CPSTI,722.00,512022.00,53,Bretagne,Q,Santé humaine et action sociale
Aide CPSTI,787.00,500104.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,6323.00,5087676.00,53,Bretagne,S,Autres activités de services
Aide CPSTI,4033.00,4310788.00,53,Bretagne,Z,Non connu
Aide CPSTI,216.00,186485.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,4276.00,3603203.00,24,Centre-Val de Loire,C,Industrie manufacturière
Aide CPSTI,16.00,13310.00,24,Centre-Val de Loire,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,153.00,95083.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,9651.00,9430289.00,24,Centre-Val de Loire,F,Construction
Aide CPSTI,9205.00,7318864.00,24,Centre-Val de Loire,G,Commerce
Aide CPSTI,1336.00,1389884.00,24,Centre-Val de Loire,H,Transports et entreposage
Aide CPSTI,3761.00,3241917.00,24,Centre-Val de Loire,I,Hébergement et restauration
Aide CPSTI,427.00,307286.00,24,Centre-Val de Loire,J,Information et communication
Aide CPSTI,378.00,364822.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Aide CPSTI,1204.00,1147694.00,24,Centre-Val de Loire,L,Activités immobilières
Aide CPSTI,1135.00,817181.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,1491.00,951916.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Aide CPSTI,341.00,285939.00,24,Centre-Val de Loire,P,Enseignement
Aide CPSTI,438.00,293425.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Aide CPSTI,602.00,355494.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,4892.00,3606779.00,24,Centre-Val de Loire,S,Autres activités de services
Aide CPSTI,2418.00,2643181.00,24,Centre-Val de Loire,Z,Non connu
Aide CPSTI,27.00,24474.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,660.00,431811.00,94,Corse,C,Industrie manufacturière
Aide CPSTI,8.00,8082.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,2252.00,1759047.00,94,Corse,F,Construction
Aide CPSTI,1542.00,1233031.00,94,Corse,G,Commerce
Aide CPSTI,218.00,198246.00,94,Corse,H,Transports et entreposage
Aide CPSTI,1045.00,846644.00,94,Corse,I,Hébergement et restauration
Aide CPSTI,61.00,46010.00,94,Corse,J,Information et communication
Aide CPSTI,21.00,19687.00,94,Corse,K,Activités financières et d'assurance
Aide CPSTI,203.00,184092.00,94,Corse,L,Activités immobilières
Aide CPSTI,184.00,112514.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
