dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,1229.00,70163540.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,5686.00,2125474246.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Prêts garantis par l'Etat,3.00,24500.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,106.00,39244178.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,8735.00,1121900620.00,84,Auvergne-Rhône-Alpes,F,Construction
Prêts garantis par l'Etat,15412.00,3138753401.00,84,Auvergne-Rhône-Alpes,G,Commerce
Prêts garantis par l'Etat,1563.00,314236319.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Prêts garantis par l'Etat,9928.00,781982139.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Prêts garantis par l'Etat,1106.00,292729814.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Prêts garantis par l'Etat,988.00,829560753.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Prêts garantis par l'Etat,1376.00,122565333.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Prêts garantis par l'Etat,5399.00,1170686919.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,2145.00,292125397.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,1219.00,70015541.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Prêts garantis par l'Etat,3988.00,241942754.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,1147.00,127403344.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,3890.00,111644990.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Prêts garantis par l'Etat,438.00,39598620.00,84,Auvergne-Rhône-Alpes,Z,Non connu
Prêts garantis par l'Etat,858.00,79412833.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,4.00,944500.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Prêts garantis par l'Etat,1799.00,729107458.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Prêts garantis par l'Etat,23.00,4733250.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2599.00,277010879.00,27,Bourgogne-Franche-Comté,F,Construction
Prêts garantis par l'Etat,4945.00,669915763.00,27,Bourgogne-Franche-Comté,G,Commerce
Prêts garantis par l'Etat,434.00,69924485.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Prêts garantis par l'Etat,2912.00,180322123.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Prêts garantis par l'Etat,212.00,30342669.00,27,Bourgogne-Franche-Comté,J,Information et communication
Prêts garantis par l'Etat,266.00,168623571.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Prêts garantis par l'Etat,344.00,27236577.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Prêts garantis par l'Etat,1169.00,177606522.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,514.00,92798570.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,311.00,19568232.00,27,Bourgogne-Franche-Comté,P,Enseignement
Prêts garantis par l'Etat,1226.00,67204980.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,334.00,31016240.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1341.00,33271209.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Prêts garantis par l'Etat,158.00,16580840.00,27,Bourgogne-Franche-Comté,Z,Non connu
Prêts garantis par l'Etat,341.00,28477203.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,1517.00,454378564.00,53,Bretagne,C,Industrie manufacturière
Prêts garantis par l'Etat,23.00,12092000.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2593.00,315425764.00,53,Bretagne,F,Construction
Prêts garantis par l'Etat,5103.00,787798566.00,53,Bretagne,G,Commerce
Prêts garantis par l'Etat,388.00,184985236.00,53,Bretagne,H,Transports et entreposage
Prêts garantis par l'Etat,4057.00,259264317.00,53,Bretagne,I,Hébergement et restauration
Prêts garantis par l'Etat,273.00,80510866.00,53,Bretagne,J,Information et communication
Prêts garantis par l'Etat,305.00,806227799.00,53,Bretagne,K,Activités financières et d'assurance
Prêts garantis par l'Etat,367.00,43845518.00,53,Bretagne,L,Activités immobilières
Prêts garantis par l'Etat,1233.00,228411719.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,582.00,328424035.00,53,Bretagne,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,343.00,16345665.00,53,Bretagne,P,Enseignement
Prêts garantis par l'Etat,1429.00,67095682.00,53,Bretagne,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,341.00,48180737.00,53,Bretagne,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1435.00,57400645.00,53,Bretagne,S,Autres activités de services
Prêts garantis par l'Etat,161.00,9456516.00,53,Bretagne,Z,Non connu
Prêts garantis par l'Etat,567.00,40783698.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,1323.00,497813400.00,24,Centre-Val de Loire,C,Industrie manufacturière
Prêts garantis par l'Etat,20.00,4435000.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2378.00,252422144.00,24,Centre-Val de Loire,F,Construction
Prêts garantis par l'Etat,3617.00,556128228.00,24,Centre-Val de Loire,G,Commerce
Prêts garantis par l'Etat,411.00,57797459.00,24,Centre-Val de Loire,H,Transports et entreposage
Prêts garantis par l'Etat,2261.00,133368120.00,24,Centre-Val de Loire,I,Hébergement et restauration
Prêts garantis par l'Etat,206.00,40696923.00,24,Centre-Val de Loire,J,Information et communication
Prêts garantis par l'Etat,231.00,214329676.00,24,Centre-Val de Loire,K,Activités financières et d'assurance
Prêts garantis par l'Etat,268.00,15698726.00,24,Centre-Val de Loire,L,Activités immobilières
Prêts garantis par l'Etat,972.00,126887557.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,478.00,61494129.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,273.00,14801651.00,24,Centre-Val de Loire,P,Enseignement
Prêts garantis par l'Etat,1020.00,64660867.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,340.00,39961633.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1156.00,25642043.00,24,Centre-Val de Loire,S,Autres activités de services
Prêts garantis par l'Etat,123.00,25845050.00,24,Centre-Val de Loire,Z,Non connu
Prêts garantis par l'Etat,150.00,14104378.00,94,Corse,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,265.00,50032203.00,94,Corse,C,Industrie manufacturière
Prêts garantis par l'Etat,17.00,5926141.00,94,Corse,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,703.00,97523993.00,94,Corse,F,Construction
Prêts garantis par l'Etat,1231.00,245370520.00,94,Corse,G,Commerce
Prêts garantis par l'Etat,125.00,55661155.00,94,Corse,H,Transports et entreposage
Prêts garantis par l'Etat,1054.00,115888744.00,94,Corse,I,Hébergement et restauration
Prêts garantis par l'Etat,62.00,5854150.00,94,Corse,J,Information et communication
Prêts garantis par l'Etat,49.00,14612675.00,94,Corse,K,Activités financières et d'assurance
Prêts garantis par l'Etat,132.00,10929974.00,94,Corse,L,Activités immobilières
Prêts garantis par l'Etat,267.00,27965277.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,186.00,33842340.00,94,Corse,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,42.00,2052300.00,94,Corse,P,Enseignement
Prêts garantis par l'Etat,209.00,23377796.00,94,Corse,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,83.00,7113826.00,94,Corse,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,202.00,8337902.00,94,Corse,S,Autres activités de services
Prêts garantis par l'Etat,22.00,1729000.00,94,Corse,Z,Non connu
Prêts garantis par l'Etat,1048.00,106181234.00,44,Grand Est,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3.00,15969000.00,44,Grand Est,B,Industries extractives
Prêts garantis par l'Etat,2929.00,1383742752.00,44,Grand Est,C,Industrie manufacturière
Prêts garantis par l'Etat,61.00,11978614.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,5206.00,706605778.00,44,Grand Est,F,Construction
Prêts garantis par l'Etat,8404.00,1573998216.00,44,Grand Est,G,Commerce
Prêts garantis par l'Etat,814.00,216162164.00,44,Grand Est,H,Transports et entreposage
Prêts garantis par l'Etat,5183.00,422926701.00,44,Grand Est,I,Hébergement et restauration
Prêts garantis par l'Etat,455.00,72908682.00,44,Grand Est,J,Information et communication
Prêts garantis par l'Etat,575.00,501199218.00,44,Grand Est,K,Activités financières et d'assurance
Prêts garantis par l'Etat,650.00,99393462.00,44,Grand Est,L,Activités immobilières
Prêts garantis par l'Etat,2433.00,337105168.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,991.00,163608281.00,44,Grand Est,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,613.00,41818754.00,44,Grand Est,P,Enseignement
Prêts garantis par l'Etat,2512.00,199923204.00,44,Grand Est,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,529.00,72462062.00,44,Grand Est,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,2376.00,76300624.00,44,Grand Est,S,Autres activités de services
Prêts garantis par l'Etat,186.00,28654446.00,44,Grand Est,Z,Non connu
Prêts garantis par l'Etat,56.00,4234400.00,01,Guadeloupe,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,253.00,46905232.00,01,Guadeloupe,C,Industrie manufacturière
Prêts garantis par l'Etat,5.00,535000.00,01,Guadeloupe,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,15.00,7165306.00,01,Guadeloupe,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,264.00,46995931.00,01,Guadeloupe,F,Construction
Prêts garantis par l'Etat,769.00,197513764.00,01,Guadeloupe,G,Commerce
Prêts garantis par l'Etat,96.00,27008931.00,01,Guadeloupe,H,Transports et entreposage
Prêts garantis par l'Etat,293.00,41590256.00,01,Guadeloupe,I,Hébergement et restauration
