dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,1605.00,85256339.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,3.00,1700000.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2020-09-04
Prêts garantis par l'Etat,6631.00,2469781880.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,11.00,442859.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-04
Prêts garantis par l'Etat,131.00,53777174.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
Prêts garantis par l'Etat,10356.00,1341439142.00,84,Auvergne-Rhône-Alpes,F,Construction,2020-09-04
Prêts garantis par l'Etat,17115.00,3420156005.00,84,Auvergne-Rhône-Alpes,G,Commerce,2020-09-04
Prêts garantis par l'Etat,1898.00,372579098.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,11039.00,870701651.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,1351.00,348882206.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,1188.00,1034673846.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,1613.00,143650451.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,6414.00,1348332045.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,2538.00,347216375.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,1430.00,83832073.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,4552.00,287710553.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,1367.00,225284160.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,4243.00,128731603.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,437.00,39979031.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,1071.00,92842726.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,2040.00,831518140.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,48.00,10911590.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
Prêts garantis par l'Etat,2939.00,316436317.00,27,Bourgogne-Franche-Comté,F,Construction,2020-09-04
Prêts garantis par l'Etat,5360.00,825275451.00,27,Bourgogne-Franche-Comté,G,Commerce,2020-09-04
Prêts garantis par l'Etat,508.00,77386748.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,3128.00,196982722.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,235.00,33301849.00,27,Bourgogne-Franche-Comté,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,311.00,266459919.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,401.00,32284252.00,27,Bourgogne-Franche-Comté,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,1327.00,189573269.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,601.00,103052960.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,351.00,22322478.00,27,Bourgogne-Franche-Comté,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,1373.00,76309117.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,402.00,36842735.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,1408.00,34588354.00,27,Bourgogne-Franche-Comté,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,163.00,15220150.00,27,Bourgogne-Franche-Comté,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,472.00,33277420.00,53,Bretagne,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,1715.00,514546918.00,53,Bretagne,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,41.00,16106000.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
Prêts garantis par l'Etat,2922.00,347285161.00,53,Bretagne,F,Construction,2020-09-04
Prêts garantis par l'Etat,5524.00,907976105.00,53,Bretagne,G,Commerce,2020-09-04
Prêts garantis par l'Etat,433.00,188385736.00,53,Bretagne,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,4351.00,334719082.00,53,Bretagne,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,352.00,93828942.00,53,Bretagne,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,370.00,965477121.00,53,Bretagne,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,417.00,47149803.00,53,Bretagne,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,1464.00,285935380.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,689.00,473026370.00,53,Bretagne,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,404.00,18887765.00,53,Bretagne,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,1620.00,74637082.00,53,Bretagne,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,419.00,55028974.00,53,Bretagne,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,1534.00,61964937.00,53,Bretagne,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,158.00,9525516.00,53,Bretagne,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,705.00,48672381.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,1511.00,736576250.00,24,Centre-Val de Loire,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,22.00,5433500.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
Prêts garantis par l'Etat,2703.00,283519773.00,24,Centre-Val de Loire,F,Construction,2020-09-04
Prêts garantis par l'Etat,3931.00,774178851.00,24,Centre-Val de Loire,G,Commerce,2020-09-04
Prêts garantis par l'Etat,494.00,63237043.00,24,Centre-Val de Loire,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,2468.00,143946761.00,24,Centre-Val de Loire,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,243.00,43273662.00,24,Centre-Val de Loire,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,273.00,250544930.00,24,Centre-Val de Loire,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,312.00,17092264.00,24,Centre-Val de Loire,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,1094.00,140578559.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,546.00,66103534.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,322.00,18954137.00,24,Centre-Val de Loire,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,1164.00,73248197.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,388.00,43714828.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,1226.00,28363288.00,24,Centre-Val de Loire,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,133.00,34700050.00,24,Centre-Val de Loire,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,200.00,16476342.00,94,Corse,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,318.00,71856890.00,94,Corse,C,Industrie manufacturière,2020-09-04
