dispositif,mois,nombre_demandes_deposees,nombre_salaries_concernes,nombre_heures_demandees,reg,libelle_region,code_section_nace17,libelle_section_nace17,date_maj
Activite Partielle,2020-03,630.00,1845.00,83055.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2021-02-23
Activite Partielle,2020-03,2495.00,12075.00,483810.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2021-02-23
Activite Partielle,2020-03,1030.00,23310.00,936430.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2021-02-23
Activite Partielle,2020-03,250.00,15045.00,627290.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2021-02-23
Activite Partielle,2020-03,7235.00,88655.00,3864435.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2021-02-23
Activite Partielle,2020-03,795.00,6065.00,261990.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2021-02-23
Activite Partielle,2020-03,18880.00,109120.00,5366615.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2021-02-23
Activite Partielle,2020-03,30465.00,153750.00,7743560.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2021-02-23
Activite Partielle,2020-03,3945.00,50435.00,2176275.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2021-02-23
Activite Partielle,2020-03,18420.00,105860.00,5723790.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2021-02-23
Activite Partielle,2020-03,1835.00,10990.00,456265.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2021-02-23
Activite Partielle,2020-03,2930.00,9355.00,422035.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2021-02-23
Activite Partielle,2020-03,2535.00,9060.00,441320.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2021-02-23
Activite Partielle,2020-03,16865.00,132945.00,5178000.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2021-02-23
Activite Partielle,2020-03,9410.00,57520.00,2146375.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2021-02-23
Activite Partielle,2020-03,13180.00,54210.00,2443935.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2021-02-23
Activite Partielle,2020-04,785.00,2270.00,178520.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2021-02-23
Activite Partielle,2020-04,3325.00,17975.00,1572955.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2021-02-23
Activite Partielle,2020-04,1230.00,33525.00,2448550.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2021-02-23
Activite Partielle,2020-04,290.00,18900.00,1662135.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2021-02-23
Activite Partielle,2020-04,8325.00,115895.00,9983960.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2021-02-23
Activite Partielle,2020-04,990.00,9775.00,771940.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2021-02-23
Activite Partielle,2020-04,19980.00,127270.00,12325905.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2021-02-23
Activite Partielle,2020-04,34245.00,190375.00,20209785.00,84,Auvergne-Rhône-Alpes,GZ,Commerce,2021-02-23
Activite Partielle,2020-04,4480.00,69205.00,5686405.00,84,Auvergne-Rhône-Alpes,HZ,Transports et entreposage,2021-02-23
Activite Partielle,2020-04,19315.00,112765.00,13038655.00,84,Auvergne-Rhône-Alpes,IZ,Hébergement et restauration,2021-02-23
Activite Partielle,2020-04,2500.00,19780.00,1672685.00,84,Auvergne-Rhône-Alpes,JZ,Information et communication,2021-02-23
Activite Partielle,2020-04,3885.00,13820.00,1305635.00,84,Auvergne-Rhône-Alpes,KZ,Act. financières et d'assurance,2021-02-23
Activite Partielle,2020-04,2985.00,12370.00,1235325.00,84,Auvergne-Rhône-Alpes,LZ,Activités immobilières,2021-02-23
Activite Partielle,2020-04,20440.00,160470.00,13016320.00,84,Auvergne-Rhône-Alpes,MN,Act. scientif. et tech. ; services admin. et de soutien,2021-02-23
Activite Partielle,2020-04,10875.00,70460.00,5289310.00,84,Auvergne-Rhône-Alpes,OQ,"Admin. publique - enseignement, santé humaine et action sociale",2021-02-23
Activite Partielle,2020-04,15335.00,65170.00,6138660.00,84,Auvergne-Rhône-Alpes,RU,Autres activités de services,2021-02-23
Activite Partielle,2020-05,675.00,1465.00,81545.00,84,Auvergne-Rhône-Alpes,AZ,"Agriculture, sylviculture et pêche",2021-02-23
Activite Partielle,2020-05,3280.00,17305.00,1041060.00,84,Auvergne-Rhône-Alpes,C1,Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac,2021-02-23
Activite Partielle,2020-05,1230.00,26870.00,1258090.00,84,Auvergne-Rhône-Alpes,C3,Fabr. d'équipements ; fabrication de machines,2021-02-23
Activite Partielle,2020-05,265.00,15870.00,915745.00,84,Auvergne-Rhône-Alpes,C4,Fabrication de matériels de transport,2021-02-23
Activite Partielle,2020-05,7770.00,91535.00,4871735.00,84,Auvergne-Rhône-Alpes,C5,Fabrication d'autres produits indus.,2021-02-23
Activite Partielle,2020-05,835.00,6860.00,335160.00,84,Auvergne-Rhône-Alpes,DE,Industries extractives,2021-02-23
Activite Partielle,2020-05,13930.00,60180.00,3303870.00,84,Auvergne-Rhône-Alpes,FZ,Construction,2021-02-23
