dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,18.00,209887.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2021-06-17
Reports d'échéances fiscales,1115.00,81709942.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2021-06-17
Reports d'échéances fiscales,10.00,1256562.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-06-17
Reports d'échéances fiscales,38.00,2996535.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-06-17
Reports d'échéances fiscales,1049.00,26080665.00,84,Auvergne-Rhône-Alpes,F,Construction,2021-06-17
Reports d'échéances fiscales,2550.00,100341096.00,84,Auvergne-Rhône-Alpes,G,Commerce,2021-06-17
Reports d'échéances fiscales,299.00,12609485.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2021-06-17
Reports d'échéances fiscales,1897.00,21233728.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2021-06-17
Reports d'échéances fiscales,283.00,14527716.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2021-06-17
Reports d'échéances fiscales,473.00,20215000.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2021-06-17
Reports d'échéances fiscales,845.00,14061606.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2021-06-17
Reports d'échéances fiscales,1159.00,56441953.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2021-06-17
Reports d'échéances fiscales,463.00,16010957.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2021-06-17
Reports d'échéances fiscales,177.00,2245167.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2021-06-17
Reports d'échéances fiscales,352.00,10860180.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2021-06-17
Reports d'échéances fiscales,269.00,16892954.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2021-06-17
Reports d'échéances fiscales,361.00,3402416.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2021-06-17
Reports d'échéances fiscales,58.00,732153.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2021-06-17
Reports d'échéances fiscales,32.00,611210.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2021-06-17
Reports d'échéances fiscales,366.00,33965168.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2021-06-17
Reports d'échéances fiscales,7.00,122085.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-06-17
Reports d'échéances fiscales,210.00,2810461.00,27,Bourgogne-Franche-Comté,F,Construction,2021-06-17
Reports d'échéances fiscales,694.00,18486993.00,27,Bourgogne-Franche-Comté,G,Commerce,2021-06-17
Reports d'échéances fiscales,89.00,2418182.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage,2021-06-17
Reports d'échéances fiscales,551.00,2853698.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration,2021-06-17
Reports d'échéances fiscales,29.00,767899.00,27,Bourgogne-Franche-Comté,J,Information et communication,2021-06-17
Reports d'échéances fiscales,71.00,2841802.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance,2021-06-17
Reports d'échéances fiscales,227.00,3301775.00,27,Bourgogne-Franche-Comté,L,Activités immobilières,2021-06-17
Reports d'échéances fiscales,218.00,3186992.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques",2021-06-17
Reports d'échéances fiscales,82.00,2162558.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien,2021-06-17
Reports d'échéances fiscales,25.00,63158.00,27,Bourgogne-Franche-Comté,P,Enseignement,2021-06-17
Reports d'échéances fiscales,96.00,3020920.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale,2021-06-17
Reports d'échéances fiscales,81.00,5160406.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives",2021-06-17
Reports d'échéances fiscales,93.00,297880.00,27,Bourgogne-Franche-Comté,S,Autres activités de services,2021-06-17
Reports d'échéances fiscales,31.00,264420.00,27,Bourgogne-Franche-Comté,Z,Non connu,2021-06-17
Reports d'échéances fiscales,28.00,337826.00,53,Bretagne,A,"Agriculture, sylviculture et pêche",2021-06-17
Reports d'échéances fiscales,353.00,23783916.00,53,Bretagne,C,Industrie manufacturière,2021-06-17
Reports d'échéances fiscales,4.00,76610.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-06-17
Reports d'échéances fiscales,369.00,13941327.00,53,Bretagne,F,Construction,2021-06-17
Reports d'échéances fiscales,863.00,30212271.00,53,Bretagne,G,Commerce,2021-06-17
Reports d'échéances fiscales,98.00,4954837.00,53,Bretagne,H,Transports et entreposage,2021-06-17
Reports d'échéances fiscales,789.00,9774457.00,53,Bretagne,I,Hébergement et restauration,2021-06-17
Reports d'échéances fiscales,73.00,3440336.00,53,Bretagne,J,Information et communication,2021-06-17
Reports d'échéances fiscales,200.00,7269447.00,53,Bretagne,K,Activités financières et d'assurance,2021-06-17
Reports d'échéances fiscales,295.00,3868812.00,53,Bretagne,L,Activités immobilières,2021-06-17
Reports d'échéances fiscales,331.00,5967291.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques",2021-06-17
Reports d'échéances fiscales,136.00,3073742.00,53,Bretagne,N,Activités de services administratifs et de soutien,2021-06-17
Reports d'échéances fiscales,44.00,501744.00,53,Bretagne,P,Enseignement,2021-06-17
Reports d'échéances fiscales,114.00,6244387.00,53,Bretagne,Q,Santé humaine et action sociale,2021-06-17
Reports d'échéances fiscales,69.00,1097131.00,53,Bretagne,R,"Arts, spectacles et activités récréatives",2021-06-17
Reports d'échéances fiscales,103.00,273999.00,53,Bretagne,S,Autres activités de services,2021-06-17
Reports d'échéances fiscales,20.00,612373.00,53,Bretagne,Z,Non connu,2021-06-17
Reports d'échéances fiscales,17.00,1032036.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche",2021-06-17
Reports d'échéances fiscales,286.00,13597663.00,24,Centre-Val de Loire,C,Industrie manufacturière,2021-06-17
Reports d'échéances fiscales,4.00,139761.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-06-17
Reports d'échéances fiscales,230.00,3779801.00,24,Centre-Val de Loire,F,Construction,2021-06-17
Reports d'échéances fiscales,602.00,14645898.00,24,Centre-Val de Loire,G,Commerce,2021-06-17
Reports d'échéances fiscales,107.00,2327111.00,24,Centre-Val de Loire,H,Transports et entreposage,2021-06-17
Reports d'échéances fiscales,411.00,2593625.00,24,Centre-Val de Loire,I,Hébergement et restauration,2021-06-17
Reports d'échéances fiscales,47.00,938068.00,24,Centre-Val de Loire,J,Information et communication,2021-06-17
Reports d'échéances fiscales,109.00,1790446.00,24,Centre-Val de Loire,K,Activités financières et d'assurance,2021-06-17
Reports d'échéances fiscales,208.00,1567051.00,24,Centre-Val de Loire,L,Activités immobilières,2021-06-17
Reports d'échéances fiscales,186.00,3011555.00,24,Centre-Val de Loire,M,"Activités spécialisées, scientifiques et techniques",2021-06-17
Reports d'échéances fiscales,78.00,3561950.00,24,Centre-Val de Loire,N,Activités de services administratifs et de soutien,2021-06-17
Reports d'échéances fiscales,32.00,241031.00,24,Centre-Val de Loire,P,Enseignement,2021-06-17
Reports d'échéances fiscales,77.00,5168800.00,24,Centre-Val de Loire,Q,Santé humaine et action sociale,2021-06-17
Reports d'échéances fiscales,55.00,1573028.00,24,Centre-Val de Loire,R,"Arts, spectacles et activités récréatives",2021-06-17
Reports d'échéances fiscales,83.00,309325.00,24,Centre-Val de Loire,S,Autres activités de services,2021-06-17
Reports d'échéances fiscales,33.00,341236.00,24,Centre-Val de Loire,Z,Non connu,2021-06-17
Reports d'échéances fiscales,7.00,43204.00,94,Corse,A,"Agriculture, sylviculture et pêche",2021-06-17
Reports d'échéances fiscales,34.00,1012604.00,94,Corse,C,Industrie manufacturière,2021-06-17
Reports d'échéances fiscales,8.00,837421.00,94,Corse,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-06-17
Reports d'échéances fiscales,77.00,2613999.00,94,Corse,F,Construction,2021-06-17
Reports d'échéances fiscales,184.00,2871705.00,94,Corse,G,Commerce,2021-06-17
Reports d'échéances fiscales,19.00,780614.00,94,Corse,H,Transports et entreposage,2021-06-17
Reports d'échéances fiscales,171.00,2114719.00,94,Corse,I,Hébergement et restauration,2021-06-17
Reports d'échéances fiscales,8.00,272199.00,94,Corse,J,Information et communication,2021-06-17
Reports d'échéances fiscales,23.00,578673.00,94,Corse,K,Activités financières et d'assurance,2021-06-17
Reports d'échéances fiscales,63.00,2004155.00,94,Corse,L,Activités immobilières,2021-06-17
Reports d'échéances fiscales,55.00,371061.00,94,Corse,M,"Activités spécialisées, scientifiques et techniques",2021-06-17
Reports d'échéances fiscales,29.00,496256.00,94,Corse,N,Activités de services administratifs et de soutien,2021-06-17
Reports d'échéances fiscales,8.00,10915.00,94,Corse,P,Enseignement,2021-06-17
Reports d'échéances fiscales,23.00,321697.00,94,Corse,Q,Santé humaine et action sociale,2021-06-17
Reports d'échéances fiscales,11.00,992662.00,94,Corse,R,"Arts, spectacles et activités récréatives",2021-06-17
Reports d'échéances fiscales,20.00,57062.00,94,Corse,S,Autres activités de services,2021-06-17
Reports d'échéances fiscales,10.00,211220.00,94,Corse,Z,Non connu,2021-06-17
Reports d'échéances fiscales,84.00,2008059.00,44,Grand Est,A,"Agriculture, sylviculture et pêche",2021-06-17
Reports d'échéances fiscales,615.00,56703394.00,44,Grand Est,C,Industrie manufacturière,2021-06-17
Reports d'échéances fiscales,7.00,57630.00,44,Grand Est,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-06-17
Reports d'échéances fiscales,17.00,794367.00,44,Grand Est,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-06-17
Reports d'échéances fiscales,651.00,10792538.00,44,Grand Est,F,Construction,2021-06-17
Reports d'échéances fiscales,1527.00,47804339.00,44,Grand Est,G,Commerce,2021-06-17
Reports d'échéances fiscales,164.00,6030634.00,44,Grand Est,H,Transports et entreposage,2021-06-17
Reports d'échéances fiscales,1000.00,10362637.00,44,Grand Est,I,Hébergement et restauration,2021-06-17
Reports d'échéances fiscales,96.00,1429602.00,44,Grand Est,J,Information et communication,2021-06-17
Reports d'échéances fiscales,248.00,7083048.00,44,Grand Est,K,Activités financières et d'assurance,2021-06-17
Reports d'échéances fiscales,521.00,6971907.00,44,Grand Est,L,Activités immobilières,2021-06-17
Reports d'échéances fiscales,475.00,7099488.00,44,Grand Est,M,"Activités spécialisées, scientifiques et techniques",2021-06-17
Reports d'échéances fiscales,226.00,3963822.00,44,Grand Est,N,Activités de services administratifs et de soutien,2021-06-17
Reports d'échéances fiscales,93.00,1028041.00,44,Grand Est,P,Enseignement,2021-06-17
Reports d'échéances fiscales,236.00,6565981.00,44,Grand Est,Q,Santé humaine et action sociale,2021-06-17
Reports d'échéances fiscales,134.00,4667720.00,44,Grand Est,R,"Arts, spectacles et activités récréatives",2021-06-17
Reports d'échéances fiscales,243.00,908657.00,44,Grand Est,S,Autres activités de services,2021-06-17
Reports d'échéances fiscales,44.00,800732.00,44,Grand Est,Z,Non connu,2021-06-17
Reports d'échéances fiscales,13.00,163294.00,01,Guadeloupe,C,Industrie manufacturière,2021-06-17
Reports d'échéances fiscales,10.00,202450.00,01,Guadeloupe,F,Construction,2021-06-17
Reports d'échéances fiscales,40.00,1842907.00,01,Guadeloupe,G,Commerce,2021-06-17
Reports d'échéances fiscales,15.00,183371.00,01,Guadeloupe,I,Hébergement et restauration,2021-06-17
Reports d'échéances fiscales,6.00,1567427.00,01,Guadeloupe,J,Information et communication,2021-06-17
Reports d'échéances fiscales,5.00,10056.00,01,Guadeloupe,K,Activités financières et d'assurance,2021-06-17
