dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,804.00,49826324.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,7.00,2400000.00,84,Auvergne-Rhône-Alpes,B,Industries extractives
Prêts garantis par l'Etat,4219.00,1582778835.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Prêts garantis par l'Etat,6.00,317500.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,66.00,22019428.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,6535.00,829364804.00,84,Auvergne-Rhône-Alpes,F,Construction
Prêts garantis par l'Etat,12374.00,2560623763.00,84,Auvergne-Rhône-Alpes,G,Commerce
Prêts garantis par l'Etat,1106.00,238727402.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Prêts garantis par l'Etat,7744.00,593880492.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Prêts garantis par l'Etat,772.00,202780198.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Prêts garantis par l'Etat,703.00,431310672.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Prêts garantis par l'Etat,1005.00,82911461.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Prêts garantis par l'Etat,3956.00,711717879.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,1582.00,201699000.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,927.00,50614031.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Prêts garantis par l'Etat,3096.00,193110689.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,817.00,85760231.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,3353.00,90677205.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Prêts garantis par l'Etat,370.00,30339020.00,84,Auvergne-Rhône-Alpes,Z,Non connu
Prêts garantis par l'Etat,612.00,58425316.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,4.00,944500.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Prêts garantis par l'Etat,1410.00,522844241.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Prêts garantis par l'Etat,13.00,2691000.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
