dispositif,nombre_pge,montant_total,reg,libelle_region,dep,libelle_departement,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,121.00,5717994.00,84,Auvergne-Rhône-Alpes,01,Ain,A,"Agriculture, sylviculture et pêche",2021-02-19
Prêts garantis par l'Etat,656.00,275817009.00,84,Auvergne-Rhône-Alpes,01,Ain,C,Industrie manufacturière,2021-02-19
Prêts garantis par l'Etat,14.00,4525000.00,84,Auvergne-Rhône-Alpes,01,Ain,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-19
Prêts garantis par l'Etat,984.00,101107319.00,84,Auvergne-Rhône-Alpes,01,Ain,F,Construction,2021-02-19
Prêts garantis par l'Etat,1243.00,286749681.00,84,Auvergne-Rhône-Alpes,01,Ain,G,Commerce,2021-02-19
Prêts garantis par l'Etat,121.00,11726024.00,84,Auvergne-Rhône-Alpes,01,Ain,H,Transports et entreposage,2021-02-19
Prêts garantis par l'Etat,772.00,57910428.00,84,Auvergne-Rhône-Alpes,01,Ain,I,Hébergement et restauration,2021-02-19
Prêts garantis par l'Etat,60.00,7515606.00,84,Auvergne-Rhône-Alpes,01,Ain,J,Information et communication,2021-02-19
Prêts garantis par l'Etat,67.00,35316000.00,84,Auvergne-Rhône-Alpes,01,Ain,K,Activités financières et d'assurance,2021-02-19
Prêts garantis par l'Etat,85.00,46285750.00,84,Auvergne-Rhône-Alpes,01,Ain,L,Activités immobilières,2021-02-19
Prêts garantis par l'Etat,393.00,108715389.00,84,Auvergne-Rhône-Alpes,01,Ain,M,"Activités spécialisées, scientifiques et techniques",2021-02-19
Prêts garantis par l'Etat,194.00,14631805.00,84,Auvergne-Rhône-Alpes,01,Ain,N,Activités de services administratifs et de soutien,2021-02-19
Prêts garantis par l'Etat,110.00,5847109.00,84,Auvergne-Rhône-Alpes,01,Ain,P,Enseignement,2021-02-19
Prêts garantis par l'Etat,301.00,19721018.00,84,Auvergne-Rhône-Alpes,01,Ain,Q,Santé humaine et action sociale,2021-02-19
Prêts garantis par l'Etat,93.00,8301445.00,84,Auvergne-Rhône-Alpes,01,Ain,R,"Arts, spectacles et activités récréatives",2021-02-19
Prêts garantis par l'Etat,351.00,8478976.00,84,Auvergne-Rhône-Alpes,01,Ain,S,Autres activités de services,2021-02-19
Prêts garantis par l'Etat,4.00,502000.00,84,Auvergne-Rhône-Alpes,01,Ain,Z,Non connu,2021-02-19
Prêts garantis par l'Etat,98.00,3995498.00,84,Auvergne-Rhône-Alpes,03,Allier,A,"Agriculture, sylviculture et pêche",2021-02-19
Prêts garantis par l'Etat,232.00,76534586.00,84,Auvergne-Rhône-Alpes,03,Allier,C,Industrie manufacturière,2021-02-19
Prêts garantis par l'Etat,3.00,1900000.00,84,Auvergne-Rhône-Alpes,03,Allier,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-19
Prêts garantis par l'Etat,353.00,32486440.00,84,Auvergne-Rhône-Alpes,03,Allier,F,Construction,2021-02-19
Prêts garantis par l'Etat,645.00,73654209.00,84,Auvergne-Rhône-Alpes,03,Allier,G,Commerce,2021-02-19
Prêts garantis par l'Etat,46.00,3867000.00,84,Auvergne-Rhône-Alpes,03,Allier,H,Transports et entreposage,2021-02-19
Prêts garantis par l'Etat,383.00,19479406.00,84,Auvergne-Rhône-Alpes,03,Allier,I,Hébergement et restauration,2021-02-19
Prêts garantis par l'Etat,22.00,9734585.00,84,Auvergne-Rhône-Alpes,03,Allier,J,Information et communication,2021-02-19
Prêts garantis par l'Etat,34.00,17410813.00,84,Auvergne-Rhône-Alpes,03,Allier,K,Activités financières et d'assurance,2021-02-19
Prêts garantis par l'Etat,43.00,1619478.00,84,Auvergne-Rhône-Alpes,03,Allier,L,Activités immobilières,2021-02-19
Prêts garantis par l'Etat,147.00,20212879.00,84,Auvergne-Rhône-Alpes,03,Allier,M,"Activités spécialisées, scientifiques et techniques",2021-02-19
Prêts garantis par l'Etat,56.00,4223235.00,84,Auvergne-Rhône-Alpes,03,Allier,N,Activités de services administratifs et de soutien,2021-02-19
Prêts garantis par l'Etat,53.00,3026000.00,84,Auvergne-Rhône-Alpes,03,Allier,P,Enseignement,2021-02-19
Prêts garantis par l'Etat,194.00,13816942.00,84,Auvergne-Rhône-Alpes,03,Allier,Q,Santé humaine et action sociale,2021-02-19
Prêts garantis par l'Etat,54.00,7096169.00,84,Auvergne-Rhône-Alpes,03,Allier,R,"Arts, spectacles et activités récréatives",2021-02-19
Prêts garantis par l'Etat,183.00,5451490.00,84,Auvergne-Rhône-Alpes,03,Allier,S,Autres activités de services,2021-02-19
Prêts garantis par l'Etat,3.00,52300.00,84,Auvergne-Rhône-Alpes,03,Allier,Z,Non connu,2021-02-19
Prêts garantis par l'Etat,242.00,10379514.00,84,Auvergne-Rhône-Alpes,07,Ardèche,A,"Agriculture, sylviculture et pêche",2021-02-19
Prêts garantis par l'Etat,3.00,445000.00,84,Auvergne-Rhône-Alpes,07,Ardèche,B,Industries extractives,2021-02-19
Prêts garantis par l'Etat,261.00,86046976.00,84,Auvergne-Rhône-Alpes,07,Ardèche,C,Industrie manufacturière,2021-02-19
Prêts garantis par l'Etat,12.00,3299000.00,84,Auvergne-Rhône-Alpes,07,Ardèche,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-19
Prêts garantis par l'Etat,465.00,36012422.00,84,Auvergne-Rhône-Alpes,07,Ardèche,F,Construction,2021-02-19
Prêts garantis par l'Etat,778.00,104239481.00,84,Auvergne-Rhône-Alpes,07,Ardèche,G,Commerce,2021-02-19
Prêts garantis par l'Etat,57.00,6074700.00,84,Auvergne-Rhône-Alpes,07,Ardèche,H,Transports et entreposage,2021-02-19
Prêts garantis par l'Etat,704.00,40891615.00,84,Auvergne-Rhône-Alpes,07,Ardèche,I,Hébergement et restauration,2021-02-19
Prêts garantis par l'Etat,28.00,5833800.00,84,Auvergne-Rhône-Alpes,07,Ardèche,J,Information et communication,2021-02-19
Prêts garantis par l'Etat,25.00,18116900.00,84,Auvergne-Rhône-Alpes,07,Ardèche,K,Activités financières et d'assurance,2021-02-19
Prêts garantis par l'Etat,38.00,2076900.00,84,Auvergne-Rhône-Alpes,07,Ardèche,L,Activités immobilières,2021-02-19
Prêts garantis par l'Etat,156.00,14044149.00,84,Auvergne-Rhône-Alpes,07,Ardèche,M,"Activités spécialisées, scientifiques et techniques",2021-02-19
Prêts garantis par l'Etat,87.00,9704915.00,84,Auvergne-Rhône-Alpes,07,Ardèche,N,Activités de services administratifs et de soutien,2021-02-19
Prêts garantis par l'Etat,51.00,1758113.00,84,Auvergne-Rhône-Alpes,07,Ardèche,P,Enseignement,2021-02-19
Prêts garantis par l'Etat,207.00,11809451.00,84,Auvergne-Rhône-Alpes,07,Ardèche,Q,Santé humaine et action sociale,2021-02-19
Prêts garantis par l'Etat,70.00,8124164.00,84,Auvergne-Rhône-Alpes,07,Ardèche,R,"Arts, spectacles et activités récréatives",2021-02-19
Prêts garantis par l'Etat,171.00,3399157.00,84,Auvergne-Rhône-Alpes,07,Ardèche,S,Autres activités de services,2021-02-19
Prêts garantis par l'Etat,4.00,176000.00,84,Auvergne-Rhône-Alpes,07,Ardèche,Z,Non connu,2021-02-19
Prêts garantis par l'Etat,76.00,3220659.00,84,Auvergne-Rhône-Alpes,15,Cantal,A,"Agriculture, sylviculture et pêche",2021-02-19
Prêts garantis par l'Etat,79.00,39866042.00,84,Auvergne-Rhône-Alpes,15,Cantal,C,Industrie manufacturière,2021-02-19
Prêts garantis par l'Etat,187.00,18740692.00,84,Auvergne-Rhône-Alpes,15,Cantal,F,Construction,2021-02-19
Prêts garantis par l'Etat,360.00,67807832.00,84,Auvergne-Rhône-Alpes,15,Cantal,G,Commerce,2021-02-19
Prêts garantis par l'Etat,36.00,11165900.00,84,Auvergne-Rhône-Alpes,15,Cantal,H,Transports et entreposage,2021-02-19
Prêts garantis par l'Etat,247.00,11562600.00,84,Auvergne-Rhône-Alpes,15,Cantal,I,Hébergement et restauration,2021-02-19
Prêts garantis par l'Etat,25.00,17101000.00,84,Auvergne-Rhône-Alpes,15,Cantal,K,Activités financières et d'assurance,2021-02-19
Prêts garantis par l'Etat,18.00,1191000.00,84,Auvergne-Rhône-Alpes,15,Cantal,L,Activités immobilières,2021-02-19
Prêts garantis par l'Etat,50.00,4895467.00,84,Auvergne-Rhône-Alpes,15,Cantal,M,"Activités spécialisées, scientifiques et techniques",2021-02-19
Prêts garantis par l'Etat,26.00,4884000.00,84,Auvergne-Rhône-Alpes,15,Cantal,N,Activités de services administratifs et de soutien,2021-02-19
Prêts garantis par l'Etat,13.00,633700.00,84,Auvergne-Rhône-Alpes,15,Cantal,P,Enseignement,2021-02-19
Prêts garantis par l'Etat,62.00,4290850.00,84,Auvergne-Rhône-Alpes,15,Cantal,Q,Santé humaine et action sociale,2021-02-19
