dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,1163.00,68029448.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,5483.00,2050663340.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Prêts garantis par l'Etat,3.00,24500.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,112.00,40787428.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,8448.00,1077615803.00,84,Auvergne-Rhône-Alpes,F,Construction
Prêts garantis par l'Etat,15006.00,3080408956.00,84,Auvergne-Rhône-Alpes,G,Commerce
Prêts garantis par l'Etat,1485.00,292117927.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage
Prêts garantis par l'Etat,9671.00,768763435.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Prêts garantis par l'Etat,1062.00,274489764.00,84,Auvergne-Rhône-Alpes,J,Information et communication
Prêts garantis par l'Etat,948.00,784526487.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance
Prêts garantis par l'Etat,1330.00,118761578.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières
Prêts garantis par l'Etat,5186.00,1106954797.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,2061.00,270020419.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,1188.00,69082939.00,84,Auvergne-Rhône-Alpes,P,Enseignement
Prêts garantis par l'Etat,3872.00,236742556.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,1102.00,121560496.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,3822.00,106978556.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services
Prêts garantis par l'Etat,418.00,36733720.00,84,Auvergne-Rhône-Alpes,Z,Non connu
Prêts garantis par l'Etat,822.00,77797488.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,5.00,1004500.00,27,Bourgogne-Franche-Comté,B,Industries extractives
Prêts garantis par l'Etat,1746.00,700794658.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière
Prêts garantis par l'Etat,30.00,7120590.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2535.00,271209909.00,27,Bourgogne-Franche-Comté,F,Construction
Prêts garantis par l'Etat,4822.00,653957088.00,27,Bourgogne-Franche-Comté,G,Commerce
Prêts garantis par l'Etat,424.00,69446985.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage
Prêts garantis par l'Etat,2867.00,178296123.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration
Prêts garantis par l'Etat,213.00,30512669.00,27,Bourgogne-Franche-Comté,J,Information et communication
Prêts garantis par l'Etat,261.00,145629071.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance
Prêts garantis par l'Etat,339.00,27081640.00,27,Bourgogne-Franche-Comté,L,Activités immobilières
Prêts garantis par l'Etat,1129.00,174006457.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,504.00,88191935.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,299.00,19154427.00,27,Bourgogne-Franche-Comté,P,Enseignement
Prêts garantis par l'Etat,1208.00,66402430.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,324.00,29746243.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1327.00,32802799.00,27,Bourgogne-Franche-Comté,S,Autres activités de services
Prêts garantis par l'Etat,146.00,13770500.00,27,Bourgogne-Franche-Comté,Z,Non connu
Prêts garantis par l'Etat,321.00,27073838.00,53,Bretagne,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,1472.00,444188564.00,53,Bretagne,C,Industrie manufacturière
Prêts garantis par l'Etat,20.00,11782000.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2517.00,308181564.00,53,Bretagne,F,Construction
Prêts garantis par l'Etat,4990.00,771687634.00,53,Bretagne,G,Commerce
Prêts garantis par l'Etat,380.00,184491259.00,53,Bretagne,H,Transports et entreposage
