dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,2288.00,119659068.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,18.00,6202000.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2021-07-23
Prêts garantis par l'Etat,8007.00,2824898795.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,25.00,1393289.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-07-23
Prêts garantis par l'Etat,197.00,71938987.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,12866.00,1562338416.00,84,Auvergne-Rhône-Alpes,F,Construction,2021-07-23
Prêts garantis par l'Etat,20379.00,3921953973.00,84,Auvergne-Rhône-Alpes,G,Commerce,2021-07-23
Prêts garantis par l'Etat,2524.00,502066457.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,13420.00,1265446698.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,1729.00,431289732.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,1463.00,1306847669.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,2050.00,212694967.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,7913.00,1821728386.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,3411.00,452535001.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,1830.00,123347259.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,5486.00,340966188.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,1822.00,356911956.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,5047.00,165498037.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,68.00,7787231.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,1375.00,115961386.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,9.00,1934500.00,27,Bourgogne-Franche-Comté,B,Industries extractives,2021-07-23
Prêts garantis par l'Etat,2391.00,921855926.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,3.00,137000.00,27,Bourgogne-Franche-Comté,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-07-23
Prêts garantis par l'Etat,66.00,13752754.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,3544.00,367395503.00,27,Bourgogne-Franche-Comté,F,Construction,2021-07-23
Prêts garantis par l'Etat,6189.00,944732995.00,27,Bourgogne-Franche-Comté,G,Commerce,2021-07-23
Prêts garantis par l'Etat,607.00,89824452.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,3610.00,243002837.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,298.00,44362633.00,27,Bourgogne-Franche-Comté,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,379.00,320982939.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,462.00,36193106.00,27,Bourgogne-Franche-Comté,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,1557.00,241698304.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,734.00,120926430.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,430.00,26119824.00,27,Bourgogne-Franche-Comté,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,1570.00,84601094.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,518.00,49450953.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,1597.00,41687053.00,27,Bourgogne-Franche-Comté,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,33.00,5958813.00,27,Bourgogne-Franche-Comté,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,677.00,48465105.00,53,Bretagne,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,4.00,978316.00,53,Bretagne,B,Industries extractives,2021-07-23
Prêts garantis par l'Etat,1996.00,571950806.00,53,Bretagne,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,46.00,17424000.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,3341.00,430330323.00,53,Bretagne,F,Construction,2021-07-23
Prêts garantis par l'Etat,6188.00,1012676238.00,53,Bretagne,G,Commerce,2021-07-23
Prêts garantis par l'Etat,549.00,199715384.00,53,Bretagne,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,4974.00,335827494.00,53,Bretagne,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,464.00,114301032.00,53,Bretagne,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,422.00,1145657600.00,53,Bretagne,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,499.00,51615326.00,53,Bretagne,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,1814.00,376832478.00,53,Bretagne,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,838.00,522245015.00,53,Bretagne,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,505.00,27415864.00,53,Bretagne,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,1906.00,85760934.00,53,Bretagne,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,543.00,70858099.00,53,Bretagne,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,1774.00,69552923.00,53,Bretagne,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,36.00,3962080.00,53,Bretagne,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,905.00,65704194.00,24,Centre-Val de Loire,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,7.00,15853400.00,24,Centre-Val de Loire,B,Industries extractives,2021-07-23
Prêts garantis par l'Etat,1819.00,830836873.00,24,Centre-Val de Loire,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,28.00,5874500.00,24,Centre-Val de Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,3160.00,321327997.00,24,Centre-Val de Loire,F,Construction,2021-07-23
Prêts garantis par l'Etat,4573.00,864842980.00,24,Centre-Val de Loire,G,Commerce,2021-07-23
Prêts garantis par l'Etat,601.00,72439068.00,24,Centre-Val de Loire,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,2930.00,183367551.00,24,Centre-Val de Loire,I,Hébergement et restauration,2021-07-23
