dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,17.00,187279.00,84,Auvergne-Rhône-Alpes,A,"Agriculture, sylviculture et pêche",2020-09-03
Reports d'échéances fiscales,3.00,77620.00,84,Auvergne-Rhône-Alpes,B,Industries extractives,2020-09-03
Reports d'échéances fiscales,900.00,65238051.00,84,Auvergne-Rhône-Alpes,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,9.00,1251620.00,84,Auvergne-Rhône-Alpes,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-03
Reports d'échéances fiscales,24.00,2519351.00,84,Auvergne-Rhône-Alpes,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-03
Reports d'échéances fiscales,876.00,23879271.00,84,Auvergne-Rhône-Alpes,F,Construction,2020-09-03
Reports d'échéances fiscales,1922.00,84051084.00,84,Auvergne-Rhône-Alpes,G,Commerce,2020-09-03
Reports d'échéances fiscales,214.00,9491683.00,84,Auvergne-Rhône-Alpes,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,946.00,11967136.00,84,Auvergne-Rhône-Alpes,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,218.00,12544044.00,84,Auvergne-Rhône-Alpes,J,Information et communication,2020-09-03
Reports d'échéances fiscales,408.00,18786325.00,84,Auvergne-Rhône-Alpes,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,694.00,11012678.00,84,Auvergne-Rhône-Alpes,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,992.00,43941352.00,84,Auvergne-Rhône-Alpes,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,366.00,12293787.00,84,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,119.00,1722198.00,84,Auvergne-Rhône-Alpes,P,Enseignement,2020-09-03
Reports d'échéances fiscales,327.00,10098783.00,84,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,145.00,11336912.00,84,Auvergne-Rhône-Alpes,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,193.00,2528338.00,84,Auvergne-Rhône-Alpes,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,59.00,679217.00,84,Auvergne-Rhône-Alpes,Z,Non connu,2020-09-03
Reports d'échéances fiscales,28.00,487451.00,27,Bourgogne-Franche-Comté,A,"Agriculture, sylviculture et pêche",2020-09-03
Reports d'échéances fiscales,281.00,28142895.00,27,Bourgogne-Franche-Comté,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,6.00,121449.00,27,Bourgogne-Franche-Comté,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-03
Reports d'échéances fiscales,180.00,2527318.00,27,Bourgogne-Franche-Comté,F,Construction,2020-09-03
Reports d'échéances fiscales,540.00,17231965.00,27,Bourgogne-Franche-Comté,G,Commerce,2020-09-03
Reports d'échéances fiscales,83.00,2102895.00,27,Bourgogne-Franche-Comté,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,300.00,1898257.00,27,Bourgogne-Franche-Comté,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,25.00,929885.00,27,Bourgogne-Franche-Comté,J,Information et communication,2020-09-03
Reports d'échéances fiscales,68.00,2719282.00,27,Bourgogne-Franche-Comté,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,184.00,2376023.00,27,Bourgogne-Franche-Comté,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,196.00,3507709.00,27,Bourgogne-Franche-Comté,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,60.00,1477329.00,27,Bourgogne-Franche-Comté,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,20.00,67044.00,27,Bourgogne-Franche-Comté,P,Enseignement,2020-09-03
Reports d'échéances fiscales,90.00,3021139.00,27,Bourgogne-Franche-Comté,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,43.00,4690431.00,27,Bourgogne-Franche-Comté,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,67.00,273290.00,27,Bourgogne-Franche-Comté,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,34.00,404758.00,27,Bourgogne-Franche-Comté,Z,Non connu,2020-09-03
Reports d'échéances fiscales,22.00,291089.00,53,Bretagne,A,"Agriculture, sylviculture et pêche",2020-09-03
Reports d'échéances fiscales,302.00,20540096.00,53,Bretagne,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,4.00,70951.00,53,Bretagne,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-03
Reports d'échéances fiscales,353.00,13597427.00,53,Bretagne,F,Construction,2020-09-03
Reports d'échéances fiscales,746.00,24432784.00,53,Bretagne,G,Commerce,2020-09-03
Reports d'échéances fiscales,82.00,4706213.00,53,Bretagne,H,Transports et entreposage,2020-09-03
