code_section_nace17,libelle_long,libelle,color
AZ,"Agriculture, sylviculture et pêche","Agriculture, sylviculture et pêche",#E53935
C1,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac","Fabr. de denrées alimentaires - boissons et prod. à base de tabac de boissons et de produits à base de tabac",#D81B60
C3,"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines","Fabr. d'équipements ; fabrication de machines",#8E24AA
C4,Fabrication de matériels de transport,Fabrication de matériels de transport,#7E57C2
C5,Fabrication d'autres produits industriels,Fabrication d'autres produits indus.,#5C6BC0
DE,"Industries extractives,  énergie, eau, gestion des déchets et dépollution","Industries extractives",#1E88E5
FZ,Construction,Construction,#039BE5
GZ,Commerce ; réparation d'automobiles et de motocycles,Commerce,#006064
HZ,Transports et entreposage,Transports et entreposage,#00796B
IZ,Hébergement et restauration,Hébergement et restauration,#388E3C
JZ,Information et communication,Information et communication,#558B2F
KZ,Activités financières et d'assurance,Act. financières et d'assurance,#AFB42B
LZ,Activités immobilières,Activités immobilières,#F57F17
MN,Activités scientifiques et techniques ; services administratifs et de soutien,Act. scientif. et tech. ; services admin. et de soutien,#FF8F00
OQ,"Administration publique, enseignement, santé humaine et action sociale","Admin. publique - enseignement, santé humaine et action sociale",#EF6C00
RU,Autres activités de services,Autres activités de services,#F4511E
C2,Cokéfaction et raffinage,Cokéfaction et raffinage,#6D4C41
